name,city,state,country
"3Ana Aviation Services","San Clemente","CA","United States"
"3TOP Aviation Services Ltd.","Leatherhead, Surrey","Se","United Kingdom"
"4 Star Electronics, Inc.","San Clemente","CA","UNITED STATES"
"5N Solutions Inc.","Markham","On","Canada"
"630 Aerospace, Inc.","Miami Lakes","FL","UNITED STATES"
"A-Sky Aviation, LLC","West Palm Beach","FL","UNITED STATES"
"A-Z-Spares Ltd","Gerrards Cross","","United Kingdom"
"A.J. Levin Company, Inc.","Burbank","CA","UNITED STATES"
"A2 Aviation LLC","Southampton","NY","United States"
"AAA Technology FZE","Dubai","","UNITED ARAB EMIRATES"
"AAR Corp.","Wood Dale","IL","UNITED STATES"
"ABACO GENERAL TRADING LLC","DXB","Se","United Arab Emirates"
"ABC Aero LLC-FZ","Dubai","","United Arab Emirates"
"ABC Intercargo Aviation","Weston","FL","UNITED STATES"
"Abu Ragueb General Trading LLC","DUBAI","Se","United Arab Emirates"
"AC Aircraft Care bv","Antwerpen","","Belgium"
"ACCENT AIR INC","Miami Gardens","FL","United States"
"Acia Aero Parts Company SAS","Cugnaux","","FRANCE"
"ACshares Aviation Group, Inc","Apopka","FL","United States"
"AD Aircraft Support Corp","MIAMI","FL","UNITED STATES"
"ADG Fasteners Inc","Benbrook","TX","United States"
"Advantage Aviation Services Inc.","Lakeland","FL","United States"
"Advantage Aviation Services Sweden AB","Knivsta","","SWEDEN"
"AEK Technology","Sylmar","CA","United States"
"AEOLUS FZCO","DUBAI","","United Arab Emirates"
"Aeras DWC LLC","Dubai","","UNITED ARAB EMIRATES"
"AerCap Materials Inc.","Memphis","TN","UNITED STATES"
"Aereohelp Services Group","Santiago","","Chile"
"AerFin Limited - Caerphilly","Caerphilly, Wales","","UNITED KINGDOM"
"Aermach Ltd","Cardiff","","UNITED KINGDOM"
"Aero Bravo International BV","Vijfhuizen, NORT","","NETHERLANDS"
"AERO CARE","Mogosoaia","","Romania"
"Aero Connections (FZE)","Sharjah","","United Arab Emirates"
"Aero Engine Services Ltd.","Pontypridd","Wa","United Kingdom"
"Aero Fastener Co., Inc.","Westfield","MA","UNITED STATES"
"Aero Industrial Sales Company","Rosedale","NY","UNITED STATES"
"Aero Instruments & Avionics, Inc.","Depew","NY","UNITED STATES"
"Aero Logistics International Pty Ltd","Cromer, NSW","","AUSTRALIA"
"Aero Make Aviation FZE","Umm Al Quwain","","United Arab Emirates"
"Aero Partners Ltd.","Southend on Sea, Essex","","UNITED KINGDOM"
"Aero Parts and Services, LLC","Hammond","LA","UNITED STATES"
"Aero PB Ltd","Sofia","","Bulgaria"
"Aero Plus Europe","Perroy","","Switzerland"
"Aero Supplies, Inc.","Mississauga","ON","CANADA"
"Aero Support Company Pte. Ltd.","","SI","SINGAPORE"
"Aero Trade Partner Company","","","PEOPLE'S REPUBLIC OF CHINA"
"Aero Trade Partner Company Limited","","","People's Republic of China"
"Aero Ventures FZCO","Dubai","","United Arab Emirates"
"Aero Vertol LLC","Coral Gables","FL","United States"
"Aero-flights Consultant and Technology ltd","Richmond Hill","","Canada"
"Aero-Link Arizona, Inc.","Scottsdale","AZ","UNITED STATES"
"Aero-Mark MRO, LLC; dba Fairhope Aerospace","Fairhope","AL","United States"
"Aero-Tech Aircraft Spare Parts & Components Trading Co. L.L","Dubai","","United Arab Emirates"
"Aero-Zone, Inc.","Chandler","AZ","UNITED STATES"
"Aero1 Aircraft Support","Miami","FL","United States"
"Aero24/7","Tremblay en France","","FRANCE"
"Aero8, Inc.","Winston-Salem","NC","UNITED STATES"
"AeroBase Group, Inc.","Saint Augustine","FL","UNITED STATES"
"Aerocon Engineering Company","Van Nuys","CA","UNITED STATES"
"AeroCor Engine Group, LLC","Miami","FL","UNITED STATES"
"Aerocore LLC","Miami","FL","United States"
"Aerocycle","Saint Hubert","QC","CANADA"
"AeroDirect, Inc.","Wheeling","IL","UNITED STATES"
"AeroDyne Worldwide, LLC","Sunrise","FL","UNITED STATES"
"Aeroeagle Resources Asia Pte. Ltd.","","","SINGAPORE"
"AEROFLEET LTD","Larnaca","","CYPRUS"
"AEROGUARD SOLUTIONS PTE LTD","SINGAPORE","","Singapore"
"Aerohaste LLC FZ","Dubai","","United Arab Emirates"
"AEROMAN AVIATION a div of Al Jury Co. LLC","MUSCAT","MU","OMAN"
"AEROMASTER S.A. LLC","BRADENTON","FL","United States"
"Aeromilitech","Heathrow","FL","United States"
"Aeromni Aerospace Inc.","Langley","BC","CANADA"
"Aeronautic Investments, Inc.","Miami Lakes","FL","UNITED STATES"
"Aeroned B.V.","Rotterdam","Zu","Netherlands"
"Aeroneotech Co.,Ltd.","Nakhon Ratchasima","","Thailand"
"Aeronics Aircraft Parts, Inc.","Miami","FL","UNITED STATES"
"Aeronotica FZ-LLC","Ras Al Khaimah","","United Arab Emirates"
"AEROPARTS AOG LTD","Dubai","","United Arab Emirates"
"Aeropenta Aircraft Spare Parts & Components Trading LLC","Dubai","","United Arab Emirates"
"AEROS, Inc.","Lawrence","KS","UNITED STATES"
"Aerosafe Pte Ltd","Seletar","Se","Singapore"
"AeroSave Ltd","Welling","","United Kingdom"
"Aeroservice Ltd.","Riga","","LATVIA"
"Aeroset Limited","Zebbug","","Malta"
"Aerospace Connections, Inc.","Sweetwater","FL","UNITED STATES"
"Aerospace Logistics Ltd.","Horsham, West Sussex","We","UNITED KINGDOM"
"Aerospace Support Associates Ltd.","West Sussex","","UNITED KINGDOM"
"Aerospace Support International","Oxford, Oxfordshire","","UNITED KINGDOM"
"Aerospace Technical Services","Amman","","JORDAN"
"Aerospares Consulting Limited","Douglas, Isle of Man","","UNITED KINGDOM"
"Aerosphere Aviation Services, Inc.","Greensboro","NC","UNITED STATES"
"Aerosphere International Spares Parts Trading LLC","Sharjah","","UNITED ARAB EMIRATES"
"Aerospheres UK Ltd.","Harrow","","UNITED KINGDOM"
"Aerosum, UAB","Vilnius","","Lithuania"
"AEROTECNICA SAS","Bogotá","","Colombia"
"AEROTOOLS CONNECTION","MIAMI","FL","United States"
"AEROTOP SOLUTIONS COMPANY LIMITED","HONG KONG","","HONG KONG"
"Aerotrade Pte. Ltd","SINGAPORE","","Singapore"
"Aerotrends Aviation (M) SDN BHD","Selangor","","MALAYSIA"
"Aerovim GmbH","Nieder Olm","","GERMANY"
"AeroVision Aircraft Services, LLC","Muskegon","MI","UNITED STATES"
"AeroVision Engine Services, LLC","Muskegon","MI","UNITED STATES"
"AeroVision International, LLC","Muskegon","MI","UNITED STATES"
"Aeroware Solutions","Miami","FL","United States"
"Aeroway Aviation Technology.,Ltd","Haikou City","","CHINA"
"AEROWINGS INTERNATIONAL FZCO","Dubai","Du","United Arab Emirates"
"Aeroxchange","Farmers Branch","TX","UNITED STATES"
"AerSale, Inc.","Coral Gables","FL","UNITED STATES"
"AerSale, Inc.","Roswell","NM","UNITED STATES"
"AerSale, Inc.","Roswell","NM","UNITED STATES"
"AerSale, Inc.","Roswell","NM","UNITED STATES"
"AerSale, Inc.","Roswell","NM","UNITED STATES"
"Aertek Ltd","Fareham","Se","United Kingdom"
"AerTok Limited","MONGKOK, KOWLOON","","Hong Kong"
"AerTok Limited","Guangdong","","CHINA"
"AerTok Limited","MONGKOK, KOWLOON","","Hong Kong"
"Aertrade","Aurora","IL","UNITED STATES"
"Aetos Aero, Inc.","Aurora","IL","UNITED STATES"
"AEYON GLOBAL INC","JACKSONVILLE","FL","United States"
"AFROCON LLC FZ","Dubai","","United Arab Emirates"
"Agility Aviation Services Inc.","North York","ON","CANADA"
"Air Canada","Dorval","QC","CANADA"
"Air Leo M and E LTD","Varna","","Bulgaria"
"Air Med Aviation DWC LLC","DUBAI","","United Arab Emirates"
"Air Parts International Sales, Inc.","Burbank","CA","UNITED STATES"
"Air Solutions & Equipments LLC","Miami","FL","UNITED STATES"
"Air Spares Unlimited LLC","Chicago","IL","UNITED STATES"
"Air Station Aviation, Inc.","Fort Myers","FL","UNITED STATES"
"Air Support International, LLC","Fort Lauderdale","FL","UNITED STATES"
"Air Viper LLC","Austin","TX","United States"
"Airborne Components and Care FZCO","Dubai","_","UNITED ARAB EMIRATES"
"Airborne Maintenance & Engineering Services, Inc. (AMES)","Wilmington","OH","UNITED STATES"
"Airborne Systems FZE","Dubai","","UNITED ARAB EMIRATES"
"AirCo, A Stratus Aero Partners Company","Eagan","MN","UNITED STATES"
"Aircom Aviation Services, LLC","Newington","CT","UNITED STATES"
"Aircraft and Engine Parts, LLC","Miami","FL","UNITED STATES"
"Aircraft End-of-Life Solutions (AELS) B.V.","Enschede","","NETHERLANDS"
"Aircraft Fasteners International, LLC","Commerce","CA","UNITED STATES"
"Aircraft Inventory Management & Services, Ltd.","Dallas","TX","UNITED STATES"
"Aircraft Maintenance Systems Company","Davie","FL","UNITED STATES"
"Aircraft Parts Distribution Inc.","Augusta","KS","UNITED STATES"
"Aircraft Parts Logistics","Miami","FL","UNITED STATES"
"Aircraft Technical Support Sales","Coral Springs","FL","UNITED STATES"
"Aircraft Trading, Inc.","Miami","FL","UNITED STATES"
